term,estimate,std.error,statistic,p.value
(Intercept),-64.7231453363539,38.950074148174316,-1.661695048130932,0.09745421562025415
Price,32.81665706939465,9.9980233324394,3.282314511401302,0.0011315341889605124
I(Price^2),-2.1819743367293345,0.6254197545108577,-3.4888158248788637,5.459962512819515e-4
Temperature,-0.29103896577607885,0.11534038933485068,-2.5233048670500713,0.012060484904437415
`Probability of Precipitation`,-27.60950388730421,4.211161847066483,-6.556267578871881,1.9413538890329244e-10
FestivalYes,39.138207914333805,4.057571787118631,9.645721620646098,1.0341109254617185e-19
CityLondon,16.515777247255475,2.9138208964450816,5.668082505484481,2.986374555172656e-8
CityToronto,21.977499049016156,2.923520172662855,7.517478160240708,4.57636303247279e-13
CityWaterloo,-8.463366654079685,3.126043001056874,-2.707373715338635,0.007108812605014755
