long,lat,group,csd_code
-80.49415739999999,43.5122961,3530016_1,3530016
-80.49311829999999,43.5125223,3530016_1,3530016
-80.4916841,43.5125617,3530016_1,3530016
-80.48743259999999,43.5131893,3530016_1,3530016
-80.4870266,43.513447000000006,3530016_1,3530016
-80.48555929999999,43.515109699999996,3530016_1,3530016
-80.483876,43.5161789,3530016_1,3530016
-80.4830537,43.5161654,3530016_1,3530016
-80.47675009999999,43.51609270000001,3530016_1,3530016
-80.4727984,43.516238799999996,3530016_1,3530016
-80.4706669,43.5164452,3530016_1,3530016
-80.47000129999999,43.516658199999995,3530016_1,3530016
-80.46856269999999,43.517305799999995,3530016_1,3530016
-80.46796859999999,43.5179559,3530016_1,3530016
-80.4673416,43.519386999999995,3530016_1,3530016
-80.467512,43.5203195,3530016_1,3530016
-80.46874129999999,43.52169190000001,3530016_1,3530016
-80.46985819999999,43.5225471,3530016_1,3530016
-80.4716103,43.5233676,3530016_1,3530016
-80.4751793,43.5244222,3530016_1,3530016
-80.47625839999999,43.5248961,3530016_1,3530016
-80.4772979,43.525872899999996,3530016_1,3530016
-80.4791918,43.5276828,3530016_1,3530016
-80.47997459999999,43.52883310000001,3530016_1,3530016
-80.480662,43.5300227,3530016_1,3530016
-80.4806589,43.53032280000001,3530016_1,3530016
-80.4806507,43.53109949999999,3530016_1,3530016
-80.48051199999999,43.5318004,3530016_1,3530016
-80.4808556,43.53161769999999,3530016_1,3530016
-80.4824644,43.53057340000001,3530016_1,3530016
-80.4827339,43.5305035,3530016_1,3530016
-80.4855142,43.5295526,3530016_1,3530016
-80.48854279999999,43.5284857,3530016_1,3530016
-80.4938635,43.52662479999999,3530016_1,3530016
-80.494339,43.5264585,3530016_1,3530016
-80.4950588,43.526200599999996,3530016_1,3530016
-80.4951054,43.526184300000004,3530016_1,3530016
-80.4999983,43.52447550000001,3530016_1,3530016
-80.50061869999999,43.5242621,3530016_1,3530016
-80.5048632,43.5227408,3530016_1,3530016
-80.5060579,43.5223259,3530016_1,3530016
-80.5064764,43.5221805,3530016_1,3530016
-80.5100503,43.5209173,3530016_1,3530016
-80.51045649999999,43.5207749,3530016_1,3530016
-80.5117255,43.5203302,3530016_1,3530016
-80.51579579999999,43.518861799999996,3530016_1,3530016
-80.5168741,43.5185228,3530016_1,3530016
-80.51903399999999,43.5177589,3530016_1,3530016
-80.52583419999999,43.5153171,3530016_1,3530016
-80.52611300000001,43.515213,3530016_1,3530016
-80.526262,43.515101,3530016_1,3530016
-80.526417,43.514827,3530016_1,3530016
-80.52667699999999,43.51487300000001,3530016_1,3530016
-80.52711000000001,43.514857000000006,3530016_1,3530016
-80.53167630000002,43.5132589,3530016_1,3530016
-80.532967,43.5128193,3530016_1,3530016
-80.5379665,43.5110388,3530016_1,3530016
-80.5407577,43.5100415,3530016_1,3530016
-80.5421846,43.509488999999995,3530016_1,3530016
-80.5456033,43.5072786,3530016_1,3530016
-80.54585229999999,43.5071668,3530016_1,3530016
-80.5551327,43.5047735,3530016_1,3530016
-80.55548139999999,43.504861999999996,3530016_1,3530016
-80.5587098,43.5037191,3530016_1,3530016
-80.5612092,43.50283830000001,3530016_1,3530016
-80.56338459999999,43.5020714,3530016_1,3530016
-80.5651637,43.5014407,3530016_1,3530016
-80.5700147,43.4996923,3530016_1,3530016
-80.570296,43.4995779,3530016_1,3530016
-80.57252,43.498765299999995,3530016_1,3530016
-80.57309,43.498555,3530016_1,3530016
-80.57334999999999,43.49853309999999,3530016_1,3530016
-80.575593,43.49819,3530016_1,3530016
-80.5804101,43.496229299999996,3530016_1,3530016
-80.5828835,43.495158599999996,3530016_1,3530016
-80.5834591,43.494939599999995,3530016_1,3530016
-80.5905543,43.4925778,3530016_1,3530016
-80.6051663,43.4872125,3530016_1,3530016
-80.60920809999999,43.485672699999995,3530016_1,3530016
-80.6109718,43.4849549,3530016_1,3530016
-80.6129297,43.484307300000005,3530016_1,3530016
