long,lat,group
-79.04274149999999,43.148325500000006,1
-79.04263809999999,43.148701400000014,1
-79.043223,43.1503058,1
-79.0440236,43.1513518,1
-79.0444778,43.1522406,1
-79.0445429,43.1528719,1
-79.044558,43.15304689999999,1
-79.0448407,43.1550672,1
-79.0454561,43.156645999999995,1
-79.0462318,43.15789110000001,1
-79.04624629999999,43.1582597,1
-79.046632,43.1607929,1
-79.0473789,43.16315900000001,1
-79.0497436,43.1659054,1
-79.0519147,43.1684834,1
-79.05288259999999,43.169677799999995,1
-79.0536618,43.171309099999995,1
-79.05380670000001,43.1727447,1
-79.0537231,43.17493680000001,1
-79.05314969999999,43.1782808,1
-79.0531397,43.1816495,1
-79.0531355,43.1830694,1
-79.0529258,43.1853757,1
-79.0526083,43.18714610000001,1
-79.05195359999999,43.18933440000001,1
-79.0509202,43.1918479,1
-79.04995079999999,43.1935322,1
-79.0494025,43.195206299999995,1
-79.0490861,43.196388899999995,1
-79.0488941,43.198294,1
-79.04913719999999,43.2005623,1
-79.04978679999999,43.20227089999999,1
-79.0508613,43.20382280000001,1
-79.05401909999999,43.2073907,1
-79.0562044,43.20982720000001,1
-79.0565664,43.2113666,1
-79.05612649999999,43.213748200000005,1
-79.0536789,43.2183329,1
-79.0529948,43.2218802,1
-79.05374929999999,43.2267781,1
-79.0550562,43.230349,1
-79.0558542,43.2334029,1
-79.0558877,43.2346944,1
-79.0561003,43.2374023,1
-79.0556515,43.2412909,1
-79.0555708,43.2419897,1
-79.0546588,43.2466088,1
-79.05465679999999,43.2488067,1
-79.0547246,43.249484300000006,1
-79.05478240000001,43.250061499999994,1
-79.0549707,43.251942799999995,1
-79.0550471,43.25270619999999,1
-79.0561547,43.2546211,1
-79.056938,43.2558947,1
-79.0573558,43.2565739,1
-79.0586136,43.2581131,1
-79.06143589999999,43.2592724,1
-79.0643541,43.2603063,1
-79.06528949999999,43.260683199999995,1
-79.0664492,43.26107909999999,1
-79.0682624,43.262001100000006,1
-79.0705512,43.26387619999999,1
-79.07067959999999,43.26398149999999,1
-79.0719767,43.2653527,1
-79.07204569999999,43.2653507,1
-79.08930579999999,43.264850900000006,1
-79.0912804,43.2643109,1
-79.09415860000001,43.2635236,1
-79.0993151,43.2621129,1
-79.11214509999999,43.2589991,1
-79.1222107,43.25921550000001,1
-79.12428539999999,43.2596582,1
-79.1259862,43.2600211,1
-79.1267407,43.2601821,1
-79.1281217,43.2604767,1
-79.13943139999999,43.257843900000005,1
-79.1493787,43.251530700000004,1
-79.1516548,43.25008570000001,1
-79.1516961,43.250059500000006,1
-79.1519908,43.2498724,1
-79.1542654,43.2489962,1
-79.1619353,43.2459069,1
-79.1741869,43.2409699,1
-79.1862086,43.235503699999995,1
-79.1868612,43.2352069,1
-79.1920438,43.232849400000006,1
-79.20258849999999,43.22995429999999,1
-79.2040114,43.2464594,1
-79.21639449999999,43.2466464,1
-79.2239549,43.2467686,1
-79.2322126,43.246891,1
-79.2354017,43.2469403,1
-79.2371376,43.246967100000006,1
-79.23837929999999,43.24698629999998,1
-79.2420529,43.24704279999999,1
-79.24609760000001,43.2470984,1
-79.2495025,43.24714499999999,1
-79.2501664,43.247154,1
-79.25252069999999,43.247203600000006,1
-79.2561017,43.2472606,1
-79.26099479999999,43.2473382,1
-79.265372,43.2474058,1
-79.2691468,43.2474639,1
-79.2756172,43.247563099999994,1
-79.2814552,43.2476479,1
-79.2900829,43.2477776,1
-79.3188955,43.2482106,1
-79.319274,43.2344537,1
-79.3195209,43.22545129999999,1
-79.3200143,43.2074486,1
-79.3204727,43.1894582,1
-79.3177673,43.185043600000014,1
-79.3253592,43.1834697,1
-79.32755879999999,43.183309699999995,1
-79.3432054,43.1821702,1
-79.3616983,43.183893999999995,1
-79.3620887,43.183930399999994,1
-79.3723828,43.1877055,1
-79.38046589999999,43.19066850000001,1
-79.3853723,43.192466499999995,1
-79.3898806,43.193810500000005,1
-79.3959223,43.1956111,1
-79.404372,43.1981019,1
-79.4048479,43.19824219999999,1
-79.4093991,43.1995833,1
-79.4367522,43.1993661,1
-79.45741679999999,43.19897300000001,1
-79.473592,43.1987709,1
-79.5,43.1985737,1
-79.5000021,43.1985737,1
-79.513261,43.19847180000001,1
-79.51334279999999,43.2002712,1
-79.5181291,43.2002934,1
-79.520309,43.200303299999995,1
-79.52303049999999,43.2003157,1
-79.5256886,43.20121029999999,1
-79.5263998,43.2014496,1
-79.52748749999999,43.2018156,1
-79.5288059,43.2022593,1
-79.5311421,43.20304529999999,1
-79.5370133,43.205020399999995,1
-79.5386307,43.20556439999999,1
-79.5431413,43.2070813,1
-79.5457864,43.20797059999999,1
-79.5485818,43.2089104,1
-79.55144949999999,43.20983329999999,1
-79.5555672,43.209944,1
-79.5578573,43.209973,1
-79.560084,43.2100012,1
-79.5636382,43.2100471,1
-79.5661415,43.2100793,1
-79.56998639999999,43.2101287,1
-79.5701278,43.2101305,1
-79.5704621,43.2101348,1
-79.5793264,43.210241499999995,1
-79.5945533,43.2191698,1
-79.6187941,43.2333717,1
-79.62204969999999,43.226281,1
-79.62208749999999,43.2263077,1
-79.6221843,43.22638089999999,1
-79.6222465,43.2263546,1
-79.622267,43.2262973,1
-79.62237789999999,43.225987,1
-79.6224185,43.22593760000001,1
-79.6228253,43.2260866,1
-79.622793,43.2261451,1
-79.62279079999999,43.226244099999995,1
-79.62287669999999,43.2262541,1
-79.6229151,43.2261916,1
-79.6229524,43.226174,1
-79.62307559999999,43.2261755,1
-79.6231367,43.226194199999995,1
-79.62340549999999,43.2262875,1
-79.6237226,43.22644240000001,1
-79.6239224,43.22654000000001,1
-79.6239536,43.2265552,1
-79.6242333,43.22671169999999,1
-79.6249283,43.227017200000006,1
-79.62498889999999,43.2270629,1
-79.625025,43.22709939999999,1
-79.6252326,43.2271739,1
-79.6255374,43.22731259999999,1
-79.62567159999999,43.2273683,1
-79.6260003,43.22753429999999,1
-79.626036,43.227588800000014,1
-79.62604809999999,43.227597899999985,1
-79.6261339,43.227616999999995,1
-79.6263046,43.22769100000001,1
-79.62641359999999,43.2277734,1
-79.6264368,43.227836700000005,1
-79.62643659999999,43.2278457,1
-79.62663239999999,43.22790210000001,1
-79.62676619999999,43.2279757,1
-79.62688829999999,43.2280222,1
-79.62700939999999,43.2281137,1
-79.6270208,43.2281499,1
-79.62704529999999,43.2281592,1
-79.6272045,43.2281971,1
-79.62737539999999,43.2282622,1
-79.6276311,43.2283913,1
-79.6276804,43.2283919,1
-79.62794939999999,43.2284762,1
-79.628551,43.2285554,1
-79.62900669999999,43.2285519,1
-79.6292544,43.2284918,1
-79.62941579999999,43.2284307,1
-79.62965109999999,43.22837050000001,1
-79.6299724,43.2283203,1
-79.6304534,43.228290099999995,1
-79.6305402,43.22826409999999,1
-79.6307511,43.228194599999995,1
-79.630951,43.228061900000014,1
-79.6314598,43.2278879,1
-79.6317193,43.227846,1
-79.6321993,43.227860799999995,1
